word,length
the,3
be,2
to,2
and,3
a,1
of,2
in,2
i,1
that,4
you,3
it,2
have,4
for,3
do,2
on,2
he,2
with,4
this,4
as,2
n't,3
we,2
not,3
but,3
they,4
say,3
at,2
what,4
his,3
from,4
go,2
by,2
or,2
get,3
she,3
can,3
my,2
all,3
there,5
so,2
her,3
about,5
one,3
know,4
if,2
me,2
your,4
who,3
like,4
out,3
will,4
their,5
would,5
just,4
when,4
up,2
make,4
more,4
no,2
think,5
time,4
see,3
come,4
people,6
take,4
year,4
him,3
other,5
them,4
some,4
want,4
how,3
now,3
which,5
right,5
could,5
look,4
than,4
our,3
into,4
here,4
well,4
because,7
then,4
use,3
work,4
back,4
way,3
only,4
these,5
over,4
thing,5
good,4
also,4
two,3
first,5
even,4
need,4
tell,4
where,5
man,3
after,5
day,3
find,4
give,4
very,4
new,3
any,3
most,4
us,2
much,4
those,5
down,4
should,6
call,4
many,4
really,6
mean,4
life,4
may,3
through,7
why,3
before,6
try,3
still,5
let,3
something,9
too,3
state,5
show,4
last,4
woman,5
little,6
long,4
never,5
feel,4
off,3
talk,4
world,5
help,4
such,4
yeah,4
great,5
child,5
oh,2
ask,3
own,3
while,5
school,6
start,5
around,6
leave,5
place,5
point,5
keep,4
love,4
home,4
put,3
change,6
big,3
another,7
same,4
high,4
both,4
play,4
american,8
three,5
every,5
house,5
become,6
part,4
between,7
happen,6
turn,4
each,4
family,6
run,3
end,3
president,9
old,3
yes,3
lot,3
again,5
student,7
seem,4
might,5
hand,4
hear,4
its,3
problem,7
question,8
believe,7
country,7
live,4
move,4
since,5
always,6
better,6
next,4
far,3
week,4
away,4
case,4
few,3
name,4
group,5
against,7
guy,3
kind,4
study,5
sure,4
night,5
best,4
game,4
number,6
head,4
bad,3
write,5
bring,5
hold,4
without,7
money,5
book,4
system,6
government,10
city,4
company,7
story,5
today,5
job,3
must,4
okay,4
friend,6
during,6
face,4
begin,5
under,5
different,9
issue,5
open,4
stop,4
ever,4
word,4
though,6
report,6
set,3
fact,4
enough,6
pay,3
early,5
program,7
second,6
care,4
course,6
read,4
anything,8
nothing,7
small,5
until,5
month,5
kid,3
once,4
public,6
maybe,5
business,8
close,5
plan,4
million,7
hard,4
idea,4
room,4
percent,7
law,3
watch,5
actually,8
large,5
provide,7
lose,4
power,5
support,7
war,3
understand,10
mother,6
real,4
team,4
line,4
eye,3
lead,4
side,4
stand,5
water,5
young,5
wait,4
yet,3
less,4
meet,4
service,7
area,4
important,9
person,6
hey,3
result,6
thank,5
someone,7
however,7
black,5
hour,4
everything,10
win,3
national,8
four,4
girl,4
father,6
hope,4
force,5
sit,3
experience,10
create,6
information,11
car,3
learn,5
least,5
already,7
fall,4
kill,4
minute,6
cause,5
party,5
include,7
human,5
together,8
follow,6
health,6
control,7
remember,8
often,5
reason,6
speak,5
ago,3
past,4
break,5
level,5
member,6
walk,4
community,9
late,4
social,6
stay,4
news,4
allow,5
body,4
base,4
mind,4
continue,8
whether,7
deal,4
spend,5
top,3
able,4
political,9
almost,6
boy,3
university,10
light,5
offer,5
research,8
white,5
add,3
later,5
whole,5
five,4
probably,8
free,4
center,6
among,5
form,4
cut,3
die,3
process,7
post,4
matter,6
food,4
else,4
history,7
buy,3
morning,7
parent,6
office,6
figure,6
sound,5
act,3
send,4
along,5
drive,5
please,6
note,4
door,4
several,7
court,5
return,6
grow,4
across,6
answer,6
moment,6
sense,5
including,9
cost,4
age,3
consider,8
pass,4
within,6
step,4
view,4
behind,6
street,6
everyone,8
test,4
policy,6
